,k2,state,proba
0,0.0,-1-twisted,0.14
1,0.25,-1-twisted,0.2
2,0.5,-1-twisted,0.28
3,0.75,-1-twisted,0.2
4,1.0,-1-twisted,0.14
5,1.25,-1-twisted,0.3
6,1.5,-1-twisted,0.2
7,1.75,-1-twisted,0.16
8,2.0,-1-twisted,0.08
9,2.25,-1-twisted,0.08
10,2.5,-1-twisted,0.02
11,2.75,-1-twisted,0.06
12,4.0,-1-twisted,0.02
13,3.0,-1-twisted,
14,3.25,-1-twisted,
15,3.5,-1-twisted,
16,3.75,-1-twisted,
17,4.25,-1-twisted,
18,0.0,-2-twisted,0.04
19,0.25,-2-twisted,0.12
20,0.5,-2-twisted,0.08
21,0.75,-2-twisted,0.18
22,1.0,-2-twisted,0.16
23,1.25,-2-twisted,0.1
24,1.5,-2-twisted,0.16
25,1.75,-2-twisted,0.08
26,2.0,-2-twisted,0.06
27,2.25,-2-twisted,0.06
28,2.5,-2-twisted,0.08
29,2.75,-2-twisted,0.1
30,4.0,-2-twisted,
31,3.0,-2-twisted,0.08
32,3.25,-2-twisted,0.02
33,3.5,-2-twisted,0.02
34,3.75,-2-twisted,
35,4.25,-2-twisted,
36,0.0,-3-twisted,0.02
37,0.25,-3-twisted,0.02
38,0.5,-3-twisted,0.02
39,0.75,-3-twisted,
40,1.0,-3-twisted,0.02
41,1.25,-3-twisted,0.04
42,1.5,-3-twisted,0.02
43,1.75,-3-twisted,0.04
44,2.0,-3-twisted,0.04
45,2.25,-3-twisted,0.06
46,2.5,-3-twisted,0.1
47,2.75,-3-twisted,0.02
48,4.0,-3-twisted,
49,3.0,-3-twisted,0.08
50,3.25,-3-twisted,0.02
51,3.5,-3-twisted,
52,3.75,-3-twisted,
53,4.25,-3-twisted,
54,0.0,1-twisted,0.24
55,0.25,1-twisted,0.12
56,0.5,1-twisted,0.22
57,0.75,1-twisted,0.22
58,1.0,1-twisted,0.16
59,1.25,1-twisted,0.14
60,1.5,1-twisted,0.2
61,1.75,1-twisted,0.2
62,2.0,1-twisted,0.1
63,2.25,1-twisted,0.06
64,2.5,1-twisted,
65,2.75,1-twisted,0.02
66,4.0,1-twisted,
67,3.0,1-twisted,0.04
68,3.25,1-twisted,
69,3.5,1-twisted,
70,3.75,1-twisted,
71,4.25,1-twisted,
72,0.0,2-twisted,0.08
73,0.25,2-twisted,0.12
74,0.5,2-twisted,
75,0.75,2-twisted,0.06
76,1.0,2-twisted,0.16
77,1.25,2-twisted,0.14
78,1.5,2-twisted,0.14
79,1.75,2-twisted,0.08
80,2.0,2-twisted,0.14
81,2.25,2-twisted,0.1
82,2.5,2-twisted,
83,2.75,2-twisted,0.04
84,4.0,2-twisted,
85,3.0,2-twisted,
86,3.25,2-twisted,
87,3.5,2-twisted,0.02
88,3.75,2-twisted,
89,4.25,2-twisted,
90,0.0,3-twisted,0.04
91,0.25,3-twisted,0.02
92,0.5,3-twisted,0.02
93,0.75,3-twisted,0.04
94,1.0,3-twisted,0.02
95,1.25,3-twisted,0.04
96,1.5,3-twisted,0.06
97,1.75,3-twisted,0.02
98,2.0,3-twisted,0.06
99,2.25,3-twisted,0.02
100,2.5,3-twisted,0.06
101,2.75,3-twisted,0.02
102,4.0,3-twisted,0.02
103,3.0,3-twisted,0.02
104,3.25,3-twisted,0.04
105,3.5,3-twisted,0.02
