,k2,state,proba
0,0.0,other,1.0
1,0.25,other,0.6363636363636364
2,0.5,other,0.5454545454545454
3,0.75,other,0.2727272727272727
4,1.5,other,0.2727272727272727
5,1.75,other,0.5454545454545454
6,2.0,other,0.6363636363636364
7,2.25,other,0.8181818181818182
8,2.5,other,0.6363636363636364
9,2.75,other,0.9090909090909091
10,3.0,other,0.9090909090909091
11,3.25,other,0.9090909090909091
12,3.5,other,1.0
13,3.75,other,0.9090909090909091
14,4.0,other,1.0
15,4.25,other,1.0
16,1.0,other,
17,1.25,other,
18,0.0,sync,
19,0.25,sync,0.36363636363636365
20,0.5,sync,0.45454545454545453
21,0.75,sync,0.36363636363636365
22,1.5,sync,0.5454545454545454
23,1.75,sync,0.2727272727272727
24,2.0,sync,
25,2.25,sync,0.09090909090909091
26,2.5,sync,0.09090909090909091
27,2.75,sync,
28,3.0,sync,
29,3.25,sync,
30,3.5,sync,
31,3.75,sync,
32,4.0,sync,
33,4.25,sync,
34,1.0,sync,0.7272727272727273
35,1.25,sync,0.8181818181818182
36,0.0,-1-twisted,
37,0.25,-1-twisted,
38,0.5,-1-twisted,
39,0.75,-1-twisted,0.36363636363636365
40,1.5,-1-twisted,0.09090909090909091
41,1.75,-1-twisted,0.09090909090909091
42,2.0,-1-twisted,
43,2.25,-1-twisted,
44,2.5,-1-twisted,
45,2.75,-1-twisted,
46,3.0,-1-twisted,
47,3.25,-1-twisted,
48,3.5,-1-twisted,
49,3.75,-1-twisted,
50,4.0,-1-twisted,
51,4.25,-1-twisted,
52,1.0,-1-twisted,0.18181818181818182
53,1.25,-1-twisted,0.09090909090909091
54,0.0,1-twisted,
55,0.25,1-twisted,
56,0.5,1-twisted,
57,0.75,1-twisted,
58,1.5,1-twisted,0.09090909090909091
59,1.75,1-twisted,
60,2.0,1-twisted,
61,2.25,1-twisted,
62,2.5,1-twisted,
63,2.75,1-twisted,0.09090909090909091
64,3.0,1-twisted,
65,3.25,1-twisted,
66,3.5,1-twisted,
67,3.75,1-twisted,
68,4.0,1-twisted,
69,4.25,1-twisted,
70,1.0,1-twisted,0.09090909090909091
71,1.25,1-twisted,0.09090909090909091
72,0.0,2-cluster,
73,0.25,2-cluster,
74,0.5,2-cluster,
75,0.75,2-cluster,
76,1.5,2-cluster,
77,1.75,2-cluster,0.09090909090909091
78,2.0,2-cluster,0.36363636363636365
79,2.25,2-cluster,0.09090909090909091
80,2.5,2-cluster,0.2727272727272727
81,2.75,2-cluster,
82,3.0,2-cluster,0.09090909090909091
83,3.25,2-cluster,0.09090909090909091
84,3.5,2-cluster,
85,3.75,2-cluster,0.09090909090909091
86,4.0,2-cluster,
87,4.25,2-cluster,
88,1.0,2-cluster,
89,1.25,2-cluster,
