,k2,state,proba
129,0.75,4-twisted,
130,1.0,4-twisted,0.01
131,1.25,4-twisted,0.02
132,1.5,4-twisted,0.01
133,1.75,4-twisted,0.03
134,2.0,4-twisted,0.01
135,2.25,4-twisted,0.02
136,2.5,4-twisted,0.03
137,2.75,4-twisted,0.04
138,3.0,4-twisted,0.02
139,3.25,4-twisted,0.02
140,3.5,4-twisted,0.02
141,3.75,4-twisted,0.01
142,4.0,4-twisted,
143,4.25,4-twisted,
144,0.0,-4-twisted,
145,0.25,-4-twisted,
146,0.5,-4-twisted,0.01
147,0.75,-4-twisted,
148,1.0,-4-twisted,0.01
149,1.25,-4-twisted,
150,1.5,-4-twisted,
151,1.75,-4-twisted,0.02
152,2.0,-4-twisted,0.04
153,2.25,-4-twisted,0.04
154,2.5,-4-twisted,0.03
155,2.75,-4-twisted,0.04
156,3.0,-4-twisted,
157,3.25,-4-twisted,0.03
158,3.5,-4-twisted,0.01
159,3.75,-4-twisted,
160,4.0,-4-twisted,0.01
161,4.25,-4-twisted,
162,0.0,other,
163,0.25,other,
164,0.5,other,
165,0.75,other,
166,1.0,other,
167,1.25,other,
168,1.5,other,0.01
169,1.75,other,0.32
170,2.0,other,0.43
171,2.25,other,0.45
172,2.5,other,0.63
173,2.75,other,0.66
174,3.0,other,0.76
175,3.25,other,0.81
176,3.5,other,0.88
177,3.75,other,0.89
178,4.0,other,0.95
179,4.25,other,0.98
180,0.0,6-twisted,
181,0.25,6-twisted,
182,0.5,6-twisted,
183,0.75,6-twisted,
184,1.0,6-twisted,
185,1.25,6-twisted,
186,1.5,6-twisted,
187,1.75,6-twisted,0.01
188,2.0,6-twisted,
189,2.25,6-twisted,
190,2.5,6-twisted,
191,2.75,6-twisted,
192,3.0,6-twisted,
193,3.25,6-twisted,
194,3.5,6-twisted,
195,3.75,6-twisted,0.01
196,4.0,6-twisted,
197,4.25,6-twisted,0.01
198,0.0,-5-twisted,
199,0.25,-5-twisted,
200,0.5,-5-twisted,
201,0.75,-5-twisted,
202,1.0,-5-twisted,
203,1.25,-5-twisted,
204,1.5,-5-twisted,
205,1.75,-5-twisted,
206,2.0,-5-twisted,0.01
207,2.25,-5-twisted,
208,2.5,-5-twisted,0.01
209,2.75,-5-twisted,0.01
210,3.0,-5-twisted,0.01
211,3.25,-5-twisted,0.01
212,3.5,-5-twisted,0.01
213,3.75,-5-twisted,0.01
214,4.0,-5-twisted,
215,4.25,-5-twisted,
216,0.0,5-twisted,
217,0.25,5-twisted,
218,0.5,5-twisted,
219,0.75,5-twisted,
220,1.0,5-twisted,
221,1.25,5-twisted,
222,1.5,5-twisted,
223,1.75,5-twisted,
224,2.0,5-twisted,0.01
225,2.25,5-twisted,
226,2.5,5-twisted,0.03
227,2.75,5-twisted,
228,3.0,5-twisted,0.02
229,3.25,5-twisted,0.02
230,3.5,5-twisted,0.01
231,3.75,5-twisted,0.04
232,4.0,5-twisted,0.01
233,4.25,5-twisted,
