,k2,state,proba
0,0.0,-1-twisted,0.17
1,0.25,-1-twisted,0.26
2,0.5,-1-twisted,0.23
3,0.75,-1-twisted,0.16
4,1.0,-1-twisted,0.18
5,1.25,-1-twisted,0.18
6,1.5,-1-twisted,0.25
7,1.75,-1-twisted,0.11
8,2.0,-1-twisted,0.13
9,2.25,-1-twisted,0.09
10,2.5,-1-twisted,0.03
11,2.75,-1-twisted,0.04
12,3.0,-1-twisted,0.04
13,3.25,-1-twisted,0.01
14,3.5,-1-twisted,0.01
15,3.75,-1-twisted,0.02
16,4.0,-1-twisted,
17,4.25,-1-twisted,
18,0.0,-2-twisted,0.17
19,0.25,-2-twisted,0.12
20,0.5,-2-twisted,0.11
21,0.75,-2-twisted,0.1
22,1.0,-2-twisted,0.07
23,1.25,-2-twisted,0.16
24,1.5,-2-twisted,0.11
25,1.75,-2-twisted,0.07
26,2.0,-2-twisted,0.09
27,2.25,-2-twisted,0.07
28,2.5,-2-twisted,0.02
29,2.75,-2-twisted,0.06
30,3.0,-2-twisted,0.02
31,3.25,-2-twisted,
32,3.5,-2-twisted,0.01
33,3.75,-2-twisted,
34,4.0,-2-twisted,
35,4.25,-2-twisted,
36,0.0,1-twisted,0.21
37,0.25,1-twisted,0.18
38,0.5,1-twisted,0.24
39,0.75,1-twisted,0.19
40,1.0,1-twisted,0.17
41,1.25,1-twisted,0.32
42,1.5,1-twisted,0.2
43,1.75,1-twisted,0.14
44,2.0,1-twisted,0.11
45,2.25,1-twisted,0.09
46,2.5,1-twisted,0.02
47,2.75,1-twisted,0.06
48,3.0,1-twisted,0.02
49,3.25,1-twisted,0.01
50,3.5,1-twisted,
51,3.75,1-twisted,
52,4.0,1-twisted,0.01
53,4.25,1-twisted,
54,0.0,2-twisted,0.1
55,0.25,2-twisted,0.08
56,0.5,2-twisted,0.09
57,0.75,2-twisted,0.09
58,1.0,2-twisted,0.11
59,1.25,2-twisted,0.09
60,1.5,2-twisted,0.07
61,1.75,2-twisted,0.11
62,2.0,2-twisted,0.04
63,2.25,2-twisted,0.11
64,2.5,2-twisted,0.11
65,2.75,2-twisted,0.05
66,3.0,2-twisted,0.02
67,3.25,2-twisted,0.02
68,3.5,2-twisted,0.02
69,3.75,2-twisted,
70,4.0,2-twisted,0.01
71,4.25,2-twisted,
72,0.0,3-twisted,0.02
73,0.25,3-twisted,0.03
74,0.5,3-twisted,0.01
75,0.75,3-twisted,0.03
76,1.0,3-twisted,0.04
77,1.25,3-twisted,0.03
78,1.5,3-twisted,0.05
79,1.75,3-twisted,0.06
80,2.0,3-twisted,0.01
81,2.25,3-twisted,0.05
82,2.5,3-twisted,0.05
83,2.75,3-twisted,0.03
84,3.0,3-twisted,0.03
85,3.25,3-twisted,0.03
86,3.5,3-twisted,0.01
87,3.75,3-twisted,0.01
88,4.0,3-twisted,
89,4.25,3-twisted,0.01
90,0.0,sync,0.33
91,0.25,sync,0.29
92,0.5,sync,0.3
93,0.75,sync,0.4
94,1.0,sync,0.34
95,1.25,sync,0.16
96,1.5,sync,0.26
97,1.75,sync,0.1
98,2.0,sync,0.09
99,2.25,sync,0.05
100,2.5,sync,0.02
101,2.75,sync,
102,3.0,sync,0.01
103,3.25,sync,0.03
104,3.5,sync,0.01
105,3.75,sync,0.01
106,4.0,sync,
107,4.25,sync,
108,0.0,-3-twisted,
109,0.25,-3-twisted,0.03
110,0.5,-3-twisted,0.01
111,0.75,-3-twisted,0.03
112,1.0,-3-twisted,0.07
113,1.25,-3-twisted,0.04
114,1.5,-3-twisted,0.04
115,1.75,-3-twisted,0.03
116,2.0,-3-twisted,0.03
117,2.25,-3-twisted,0.03
118,2.5,-3-twisted,0.02
119,2.75,-3-twisted,0.01
120,3.0,-3-twisted,0.05
121,3.25,-3-twisted,0.01
122,3.5,-3-twisted,0.01
123,3.75,-3-twisted,
124,4.0,-3-twisted,0.01
125,4.25,-3-twisted,
126,0.0,4-twisted,
127,0.25,4-twisted,0.01
128,0.5,4-twisted,
