,k2,state,proba
0,0.0,-1-twisted,0.271
1,0.25,-1-twisted,0.208
2,0.5,-1-twisted,0.233
3,0.75,-1-twisted,0.21
4,1.0,-1-twisted,0.18
5,1.25,-1-twisted,0.195
6,1.5,-1-twisted,0.19
7,1.75,-1-twisted,0.138
8,2.0,-1-twisted,0.087
9,2.25,-1-twisted,0.058
10,2.5,-1-twisted,0.054
11,2.75,-1-twisted,0.035
12,3.0,-1-twisted,0.018
13,3.25,-1-twisted,0.017
14,3.5,-1-twisted,0.017
15,3.75,-1-twisted,0.005
16,4.0,-1-twisted,0.003
17,4.25,-1-twisted,0.001
18,0.0,-2-twisted,0.093
19,0.25,-2-twisted,0.119
20,0.5,-2-twisted,0.101
21,0.75,-2-twisted,0.102
22,1.0,-2-twisted,0.111
23,1.25,-2-twisted,0.122
24,1.5,-2-twisted,0.12
25,1.75,-2-twisted,0.076
26,2.0,-2-twisted,0.075
27,2.25,-2-twisted,0.087
28,2.5,-2-twisted,0.052
29,2.75,-2-twisted,0.049
30,3.0,-2-twisted,0.025
31,3.25,-2-twisted,0.013
32,3.5,-2-twisted,0.012
33,3.75,-2-twisted,0.003
34,4.0,-2-twisted,0.004
35,4.25,-2-twisted,0.002
36,0.0,-3-twisted,0.016
37,0.25,-3-twisted,0.015
38,0.5,-3-twisted,0.02
39,0.75,-3-twisted,0.021
40,1.0,-3-twisted,0.042
41,1.25,-3-twisted,0.045
42,1.5,-3-twisted,0.047
43,1.75,-3-twisted,0.04
44,2.0,-3-twisted,0.034
45,2.25,-3-twisted,0.042
46,2.5,-3-twisted,0.042
47,2.75,-3-twisted,0.039
48,3.0,-3-twisted,0.029
49,3.25,-3-twisted,0.021
50,3.5,-3-twisted,0.016
51,3.75,-3-twisted,0.01
52,4.0,-3-twisted,0.011
53,4.25,-3-twisted,0.004
54,0.0,-4-twisted,0.002
55,0.25,-4-twisted,0.001
56,0.5,-4-twisted,0.002
57,0.75,-4-twisted,0.004
58,1.0,-4-twisted,0.008
59,1.25,-4-twisted,0.001
60,1.5,-4-twisted,0.022
61,1.75,-4-twisted,0.021
62,2.0,-4-twisted,0.019
63,2.25,-4-twisted,0.026
64,2.5,-4-twisted,0.022
65,2.75,-4-twisted,0.035
66,3.0,-4-twisted,0.022
67,3.25,-4-twisted,0.02
68,3.5,-4-twisted,0.017
69,3.75,-4-twisted,0.011
70,4.0,-4-twisted,0.008
71,4.25,-4-twisted,0.004
72,0.0,-5-twisted,0.002
73,0.25,-5-twisted,0.001
74,0.5,-5-twisted,
75,0.75,-5-twisted,
76,1.0,-5-twisted,0.001
77,1.25,-5-twisted,
78,1.5,-5-twisted,
79,1.75,-5-twisted,
80,2.0,-5-twisted,0.005
81,2.25,-5-twisted,0.007
82,2.5,-5-twisted,0.014
83,2.75,-5-twisted,0.01
84,3.0,-5-twisted,0.013
85,3.25,-5-twisted,0.007
86,3.5,-5-twisted,0.007
87,3.75,-5-twisted,0.003
88,4.0,-5-twisted,0.004
89,4.25,-5-twisted,0.003
90,0.0,1-twisted,0.199
91,0.25,1-twisted,0.255
92,0.5,1-twisted,0.228
93,0.75,1-twisted,0.243
94,1.0,1-twisted,0.23
95,1.25,1-twisted,0.21
96,1.5,1-twisted,0.189
97,1.75,1-twisted,0.153
98,2.0,1-twisted,0.082
99,2.25,1-twisted,0.065
100,2.5,1-twisted,0.038
101,2.75,1-twisted,0.034
102,3.0,1-twisted,0.022
103,3.25,1-twisted,0.01
104,3.5,1-twisted,0.009
105,3.75,1-twisted,0.003
106,4.0,1-twisted,0.001
107,4.25,1-twisted,
108,0.0,2-twisted,0.094
109,0.25,2-twisted,0.083
110,0.5,2-twisted,0.091
111,0.75,2-twisted,0.101
112,1.0,2-twisted,0.121
113,1.25,2-twisted,0.109
114,1.5,2-twisted,0.118
115,1.75,2-twisted,0.076
116,2.0,2-twisted,0.107
117,2.25,2-twisted,0.085
118,2.5,2-twisted,0.067
119,2.75,2-twisted,0.055
120,3.0,2-twisted,0.028
121,3.25,2-twisted,0.014
122,3.5,2-twisted,0.01
123,3.75,2-twisted,0.011
124,4.0,2-twisted,
125,4.25,2-twisted,0.002
126,0.0,3-twisted,0.028
127,0.25,3-twisted,0.019
128,0.5,3-twisted,0.016
129,0.75,3-twisted,0.029
130,1.0,3-twisted,0.04
131,1.25,3-twisted,0.051
132,1.5,3-twisted,0.059
133,1.75,3-twisted,0.055
134,2.0,3-twisted,0.049
135,2.25,3-twisted,0.041
136,2.5,3-twisted,0.043
137,2.75,3-twisted,0.031
138,3.0,3-twisted,0.036
139,3.25,3-twisted,0.016
140,3.5,3-twisted,0.018
141,3.75,3-twisted,0.017
142,4.0,3-twisted,0.008
143,4.25,3-twisted,0.002
144,0.0,4-twisted,0.001
145,0.25,4-twisted,0.002
146,0.5,4-twisted,0.002
147,0.75,4-twisted,0.001
148,1.0,4-twisted,0.005
149,1.25,4-twisted,0.011
150,1.5,4-twisted,0.009
151,1.75,4-twisted,0.015
152,2.0,4-twisted,0.02
153,2.25,4-twisted,0.038
154,2.5,4-twisted,0.024
155,2.75,4-twisted,0.027
156,3.0,4-twisted,0.02
157,3.25,4-twisted,0.022
158,3.5,4-twisted,0.028
159,3.75,4-twisted,0.003
160,4.0,4-twisted,0.004
161,4.25,4-twisted,0.004
162,0.0,5-twisted,0.001
163,0.25,5-twisted,
164,0.5,5-twisted,0.001
165,0.75,5-twisted,
166,1.0,5-twisted,
167,1.25,5-twisted,0.004
168,1.5,5-twisted,0.002
169,1.75,5-twisted,
170,2.0,5-twisted,0.008
171,2.25,5-twisted,0.005
172,2.5,5-twisted,0.014
173,2.75,5-twisted,0.015
174,3.0,5-twisted,0.008
175,3.25,5-twisted,0.011
176,3.5,5-twisted,0.011
177,3.75,5-twisted,0.009
178,4.0,5-twisted,0.005
179,4.25,5-twisted,0.006
180,0.0,sync,0.293
181,0.25,sync,0.297
182,0.5,sync,0.306
183,0.75,sync,0.289
184,1.0,sync,0.262
