,k2,state,proba
0,0.0,other,0.9
1,0.25,other,0.8
2,0.5,other,0.6
3,0.75,other,0.1
4,1.0,other,0.3
5,1.25,other,0.2
6,1.5,other,0.2
7,1.75,other,0.7
8,2.0,other,0.7
9,2.25,other,0.8
10,2.5,other,1.0
11,2.75,other,0.9
12,3.0,other,1.0
13,3.25,other,0.9
14,3.5,other,1.0
15,3.75,other,1.0
16,4.0,other,0.9
17,4.25,other,0.9
18,0.0,sync,0.1
19,0.25,sync,
20,0.5,sync,0.1
21,0.75,sync,0.6
22,1.0,sync,0.1
23,1.25,sync,0.3
24,1.5,sync,0.3
25,1.75,sync,0.1
26,2.0,sync,
27,2.25,sync,0.2
28,2.5,sync,
29,2.75,sync,
30,3.0,sync,
31,3.25,sync,
32,3.5,sync,
33,3.75,sync,
34,4.0,sync,
35,4.25,sync,
36,0.0,-1-twisted,
37,0.25,-1-twisted,0.1
38,0.5,-1-twisted,0.2
39,0.75,-1-twisted,0.2
40,1.0,-1-twisted,0.2
41,1.25,-1-twisted,0.2
42,1.5,-1-twisted,0.1
43,1.75,-1-twisted,
44,2.0,-1-twisted,
45,2.25,-1-twisted,
46,2.5,-1-twisted,
47,2.75,-1-twisted,
48,3.0,-1-twisted,
49,3.25,-1-twisted,
50,3.5,-1-twisted,
51,3.75,-1-twisted,
52,4.0,-1-twisted,
53,4.25,-1-twisted,
54,0.0,1-twisted,
55,0.25,1-twisted,0.1
56,0.5,1-twisted,0.1
57,0.75,1-twisted,
58,1.0,1-twisted,0.1
59,1.25,1-twisted,0.1
60,1.5,1-twisted,0.2
61,1.75,1-twisted,
62,2.0,1-twisted,0.1
63,2.25,1-twisted,
64,2.5,1-twisted,
65,2.75,1-twisted,
66,3.0,1-twisted,
67,3.25,1-twisted,
68,3.5,1-twisted,
69,3.75,1-twisted,
70,4.0,1-twisted,
71,4.25,1-twisted,
72,0.0,2-twisted,
73,0.25,2-twisted,
74,0.5,2-twisted,
75,0.75,2-twisted,0.1
76,1.0,2-twisted,
77,1.25,2-twisted,
78,1.5,2-twisted,
79,1.75,2-twisted,0.1
80,2.0,2-twisted,
81,2.25,2-twisted,
82,2.5,2-twisted,
83,2.75,2-twisted,
84,3.0,2-twisted,
85,3.25,2-twisted,
86,3.5,2-twisted,
87,3.75,2-twisted,
88,4.0,2-twisted,
89,4.25,2-twisted,
90,0.0,-2-twisted,
91,0.25,-2-twisted,
92,0.5,-2-twisted,
93,0.75,-2-twisted,
94,1.0,-2-twisted,0.2
95,1.25,-2-twisted,0.2
96,1.5,-2-twisted,0.2
97,1.75,-2-twisted,
98,2.0,-2-twisted,0.1
99,2.25,-2-twisted,
100,2.5,-2-twisted,
101,2.75,-2-twisted,
102,3.0,-2-twisted,
103,3.25,-2-twisted,
104,3.5,-2-twisted,
105,3.75,-2-twisted,
106,4.0,-2-twisted,
107,4.25,-2-twisted,
108,0.0,-3-twisted,
109,0.25,-3-twisted,
110,0.5,-3-twisted,
111,0.75,-3-twisted,
112,1.0,-3-twisted,0.1
113,1.25,-3-twisted,
114,1.5,-3-twisted,
115,1.75,-3-twisted,0.1
116,2.0,-3-twisted,
117,2.25,-3-twisted,
118,2.5,-3-twisted,
119,2.75,-3-twisted,
120,3.0,-3-twisted,
121,3.25,-3-twisted,
122,3.5,-3-twisted,
123,3.75,-3-twisted,
124,4.0,-3-twisted,
125,4.25,-3-twisted,
126,0.0,-4-twisted,
127,0.25,-4-twisted,
128,0.5,-4-twisted,
129,0.75,-4-twisted,
130,1.0,-4-twisted,
131,1.25,-4-twisted,
132,1.5,-4-twisted,
133,1.75,-4-twisted,
134,2.0,-4-twisted,0.1
135,2.25,-4-twisted,
136,2.5,-4-twisted,
137,2.75,-4-twisted,
138,3.0,-4-twisted,
139,3.25,-4-twisted,
140,3.5,-4-twisted,
141,3.75,-4-twisted,
142,4.0,-4-twisted,
143,4.25,-4-twisted,
144,0.0,4-twisted,
145,0.25,4-twisted,
146,0.5,4-twisted,
147,0.75,4-twisted,
148,1.0,4-twisted,
149,1.25,4-twisted,
150,1.5,4-twisted,
151,1.75,4-twisted,
152,2.0,4-twisted,
153,2.25,4-twisted,
154,2.5,4-twisted,
155,2.75,4-twisted,0.1
156,3.0,4-twisted,
157,3.25,4-twisted,0.1
158,3.5,4-twisted,
159,3.75,4-twisted,
160,4.0,4-twisted,0.1
161,4.25,4-twisted,0.1
