,k2,state,proba
0,0.0,-1-twisted,0.1
1,0.25,-1-twisted,0.24
2,0.5,-1-twisted,0.22
3,0.75,-1-twisted,0.2
4,1.0,-1-twisted,0.24
5,1.25,-1-twisted,0.14
6,1.5,-1-twisted,0.18
7,1.75,-1-twisted,0.12
8,2.0,-1-twisted,0.04
9,2.5,-1-twisted,0.06
10,2.75,-1-twisted,0.02
11,3.25,-1-twisted,0.02
12,4.0,-1-twisted,0.02
13,2.25,-1-twisted,
14,3.0,-1-twisted,
15,3.5,-1-twisted,
16,3.75,-1-twisted,
17,4.25,-1-twisted,
18,0.0,-2-twisted,0.02
19,0.25,-2-twisted,0.06
20,0.5,-2-twisted,0.12
21,0.75,-2-twisted,
22,1.0,-2-twisted,0.08
23,1.25,-2-twisted,0.22
24,1.5,-2-twisted,0.06
25,1.75,-2-twisted,0.1
26,2.0,-2-twisted,0.08
27,2.5,-2-twisted,0.1
28,2.75,-2-twisted,0.04
29,3.25,-2-twisted,
30,4.0,-2-twisted,
31,2.25,-2-twisted,0.06
32,3.0,-2-twisted,0.02
33,3.5,-2-twisted,
34,3.75,-2-twisted,
35,4.25,-2-twisted,
36,0.0,1-twisted,0.04
37,0.25,1-twisted,0.16
38,0.5,1-twisted,0.2
39,0.75,1-twisted,0.32
40,1.0,1-twisted,0.22
41,1.25,1-twisted,0.22
42,1.5,1-twisted,0.18
43,1.75,1-twisted,0.1
44,2.0,1-twisted,0.08
45,2.5,1-twisted,0.04
46,2.75,1-twisted,0.04
47,3.25,1-twisted,
48,4.0,1-twisted,
49,2.25,1-twisted,0.04
50,3.0,1-twisted,0.06
51,3.5,1-twisted,
52,3.75,1-twisted,
53,4.25,1-twisted,
54,0.0,2-twisted,0.06
55,0.25,2-twisted,0.12
56,0.5,2-twisted,0.12
57,0.75,2-twisted,0.16
58,1.0,2-twisted,0.08
59,1.25,2-twisted,0.1
60,1.5,2-twisted,0.16
61,1.75,2-twisted,0.02
62,2.0,2-twisted,0.12
63,2.5,2-twisted,0.02
64,2.75,2-twisted,0.06
65,3.25,2-twisted,
66,4.0,2-twisted,
67,2.25,2-twisted,0.1
68,3.0,2-twisted,0.06
69,3.5,2-twisted,
70,3.75,2-twisted,
71,4.25,2-twisted,
72,0.0,other,0.5
73,0.25,other,0.04
74,0.5,other,
75,0.75,other,
76,1.0,other,
77,1.25,other,
78,1.5,other,
79,1.75,other,0.38
80,2.0,other,0.44
81,2.5,other,0.54
