,k2,state,proba
0,0.0,-1-twisted,0.2243
1,0.25,-1-twisted,0.2231
2,0.5,-1-twisted,0.2223
3,0.75,-1-twisted,0.2245
4,1.0,-1-twisted,0.2015
5,1.25,-1-twisted,0.2044
6,1.5,-1-twisted,0.1985
7,1.75,-1-twisted,0.1441
8,2.0,-1-twisted,0.0933
9,2.25,-1-twisted,0.0671
10,2.5,-1-twisted,0.0508
11,2.75,-1-twisted,0.0338
12,3.0,-1-twisted,0.0242
13,3.25,-1-twisted,0.0155
14,3.5,-1-twisted,0.0085
15,3.75,-1-twisted,0.0041
16,4.0,-1-twisted,0.0023
17,4.25,-1-twisted,0.0011
18,0.0,-2-twisted,0.094
19,0.25,-2-twisted,0.0977
20,0.5,-2-twisted,0.1005
21,0.75,-2-twisted,0.1029
22,1.0,-2-twisted,0.1122
23,1.25,-2-twisted,0.1199
24,1.5,-2-twisted,0.1135
25,1.75,-2-twisted,0.0737
26,2.0,-2-twisted,0.0917
27,2.25,-2-twisted,0.0799
28,2.5,-2-twisted,0.0676
29,2.75,-2-twisted,0.0492
30,3.0,-2-twisted,0.0288
31,3.25,-2-twisted,0.015
32,3.5,-2-twisted,0.0089
33,3.75,-2-twisted,0.0054
34,4.0,-2-twisted,0.0028
35,4.25,-2-twisted,0.0026
36,0.0,-3-twisted,0.0206
37,0.25,-3-twisted,0.0213
38,0.5,-3-twisted,0.0198
39,0.75,-3-twisted,0.0244
40,1.0,-3-twisted,0.0401
41,1.25,-3-twisted,0.043
42,1.5,-3-twisted,0.0458
43,1.75,-3-twisted,0.0453
44,2.0,-3-twisted,0.0451
45,2.25,-3-twisted,0.0456
46,2.5,-3-twisted,0.04
47,2.75,-3-twisted,0.0358
48,3.0,-3-twisted,0.03
49,3.25,-3-twisted,0.0242
50,3.5,-3-twisted,0.021
51,3.75,-3-twisted,0.0125
52,4.0,-3-twisted,0.0074
53,4.25,-3-twisted,0.0062
54,0.0,-4-twisted,0.0031
55,0.25,-4-twisted,0.0022
56,0.5,-4-twisted,0.0027
57,0.75,-4-twisted,0.0031
58,1.0,-4-twisted,0.0064
59,1.25,-4-twisted,0.0088
60,1.5,-4-twisted,0.012
61,1.75,-4-twisted,0.0169
62,2.0,-4-twisted,0.0209
63,2.25,-4-twisted,0.0247
64,2.5,-4-twisted,0.0251
65,2.75,-4-twisted,0.0256
66,3.0,-4-twisted,0.0246
67,3.25,-4-twisted,0.0197
68,3.5,-4-twisted,0.0141
69,3.75,-4-twisted,0.0098
70,4.0,-4-twisted,0.0072
71,4.25,-4-twisted,0.0051
72,0.0,1-twisted,0.24
73,0.25,1-twisted,0.2329
74,0.5,1-twisted,0.2277
75,0.75,1-twisted,0.2271
76,1.0,1-twisted,0.2119
77,1.25,1-twisted,0.2003
78,1.5,1-twisted,0.2041
79,1.75,1-twisted,0.1355
80,2.0,1-twisted,0.0904
81,2.25,1-twisted,0.0652
82,2.5,1-twisted,0.0467
83,2.75,1-twisted,0.0342
84,3.0,1-twisted,0.0226
85,3.25,1-twisted,0.0142
86,3.5,1-twisted,0.0085
87,3.75,1-twisted,0.0047
88,4.0,1-twisted,0.004
89,4.25,1-twisted,0.0022
90,0.0,2-twisted,0.0948
91,0.25,2-twisted,0.0953
92,0.5,2-twisted,0.0963
93,0.75,2-twisted,0.1017
94,1.0,2-twisted,0.1188
95,1.25,2-twisted,0.1169
96,1.5,2-twisted,0.1136
97,1.75,2-twisted,0.0708
98,2.0,2-twisted,0.0883
99,2.25,2-twisted,0.0779
100,2.5,2-twisted,0.0659
101,2.75,2-twisted,0.052
102,3.0,2-twisted,0.0269
103,3.25,2-twisted,0.017
104,3.5,2-twisted,0.0123
105,3.75,2-twisted,0.0053
106,4.0,2-twisted,0.0035
107,4.25,2-twisted,0.0035
108,0.0,3-twisted,0.0205
109,0.25,3-twisted,0.0235
110,0.5,3-twisted,0.0229
111,0.75,3-twisted,0.0247
112,1.0,3-twisted,0.0409
113,1.25,3-twisted,0.0422
114,1.5,3-twisted,0.0469
115,1.75,3-twisted,0.0418
116,2.0,3-twisted,0.0422
117,2.25,3-twisted,0.0419
118,2.5,3-twisted,0.0365
119,2.75,3-twisted,0.0315
120,3.0,3-twisted,0.0287
121,3.25,3-twisted,0.0224
122,3.5,3-twisted,0.017
123,3.75,3-twisted,0.0132
124,4.0,3-twisted,0.0072
125,4.25,3-twisted,0.0055
126,0.0,4-twisted,0.0034
127,0.25,4-twisted,0.0038
128,0.5,4-twisted,0.0031
129,0.75,4-twisted,0.0023
130,1.0,4-twisted,0.0068
131,1.25,4-twisted,0.0096
132,1.5,4-twisted,0.0097
133,1.75,4-twisted,0.0171
134,2.0,4-twisted,0.0223
135,2.25,4-twisted,0.0235
136,2.5,4-twisted,0.0252
