,k2,state,proba
0,0.0,-1-twisted,0.2
1,0.25,-1-twisted,0.2
2,0.5,-1-twisted,0.2
3,0.75,-1-twisted,0.3
4,1.0,-1-twisted,0.2
5,1.25,-1-twisted,0.4
6,1.5,-1-twisted,0.4
7,1.75,-1-twisted,0.2
8,2.25,-1-twisted,0.1
9,3.0,-1-twisted,0.1
10,2.0,-1-twisted,
11,2.5,-1-twisted,
12,3.25,-1-twisted,
13,2.75,-1-twisted,
14,3.5,-1-twisted,
15,3.75,-1-twisted,
16,4.0,-1-twisted,
17,4.25,-1-twisted,
18,0.0,-2-twisted,0.1
19,0.25,-2-twisted,0.2
20,0.5,-2-twisted,
21,0.75,-2-twisted,
22,1.0,-2-twisted,0.1
23,1.25,-2-twisted,0.3
24,1.5,-2-twisted,
25,1.75,-2-twisted,0.1
26,2.25,-2-twisted,0.2
27,3.0,-2-twisted,0.1
28,2.0,-2-twisted,0.1
29,2.5,-2-twisted,0.1
30,3.25,-2-twisted,0.1
31,2.75,-2-twisted,
32,3.5,-2-twisted,
33,3.75,-2-twisted,
34,4.0,-2-twisted,
35,4.25,-2-twisted,
36,0.0,1-twisted,0.1
37,0.25,1-twisted,0.4
38,0.5,1-twisted,0.3
39,0.75,1-twisted,0.1
40,1.0,1-twisted,0.2
41,1.25,1-twisted,0.1
42,1.5,1-twisted,0.2
43,1.75,1-twisted,
44,2.25,1-twisted,0.1
45,3.0,1-twisted,
46,2.0,1-twisted,
47,2.5,1-twisted,
48,3.25,1-twisted,
49,2.75,1-twisted,0.1
50,3.5,1-twisted,
51,3.75,1-twisted,
52,4.0,1-twisted,
53,4.25,1-twisted,
54,0.0,2-twisted,0.1
55,0.25,2-twisted,
56,0.5,2-twisted,
57,0.75,2-twisted,0.2
58,1.0,2-twisted,0.1
59,1.25,2-twisted,0.1
60,1.5,2-twisted,0.3
61,1.75,2-twisted,
62,2.25,2-twisted,
63,3.0,2-twisted,0.1
64,2.0,2-twisted,0.2
65,2.5,2-twisted,0.1
66,3.25,2-twisted,
67,2.75,2-twisted,
68,3.5,2-twisted,
69,3.75,2-twisted,
70,4.0,2-twisted,
71,4.25,2-twisted,
72,0.0,3-twisted,0.3
73,0.25,3-twisted,
74,0.5,3-twisted,
75,0.75,3-twisted,
76,1.0,3-twisted,0.1
77,1.25,3-twisted,
78,1.5,3-twisted,
79,1.75,3-twisted,0.1
80,2.25,3-twisted,
81,3.0,3-twisted,
82,2.0,3-twisted,0.1
83,2.5,3-twisted,
84,3.25,3-twisted,
85,2.75,3-twisted,0.1
86,3.5,3-twisted,
87,3.75,3-twisted,
88,4.0,3-twisted,
89,4.25,3-twisted,
90,0.0,sync,0.2
91,0.25,sync,0.2
92,0.5,sync,0.5
93,0.75,sync,0.4
94,1.0,sync,0.1
95,1.25,sync,
96,1.5,sync,0.1
97,1.75,sync,0.2
98,2.25,sync,
99,3.0,sync,
100,2.0,sync,0.2
101,2.5,sync,
102,3.25,sync,
103,2.75,sync,
104,3.5,sync,
105,3.75,sync,
106,4.0,sync,
107,4.25,sync,
108,0.0,-3-twisted,
109,0.25,-3-twisted,
110,0.5,-3-twisted,
111,0.75,-3-twisted,
112,1.0,-3-twisted,0.2
113,1.25,-3-twisted,0.1
114,1.5,-3-twisted,
115,1.75,-3-twisted,
116,2.25,-3-twisted,
117,3.0,-3-twisted,
118,2.0,-3-twisted,
119,2.5,-3-twisted,0.1
120,3.25,-3-twisted,
121,2.75,-3-twisted,
122,3.5,-3-twisted,
123,3.75,-3-twisted,
124,4.0,-3-twisted,
125,4.25,-3-twisted,
126,0.0,other,
127,0.25,other,
128,0.5,other,
129,0.75,other,
130,1.0,other,
131,1.25,other,
132,1.5,other,
133,1.75,other,0.4
134,2.25,other,0.5
135,3.0,other,0.6
136,2.0,other,0.3
137,2.5,other,0.5
138,3.25,other,0.8
139,2.75,other,0.8
140,3.5,other,0.9
141,3.75,other,0.9
142,4.0,other,0.9
143,4.25,other,1.0
144,0.0,4-twisted,
145,0.25,4-twisted,
146,0.5,4-twisted,
147,0.75,4-twisted,
148,1.0,4-twisted,
149,1.25,4-twisted,
150,1.5,4-twisted,
151,1.75,4-twisted,
152,2.25,4-twisted,
153,3.0,4-twisted,
154,2.0,4-twisted,0.1
155,2.5,4-twisted,
156,3.25,4-twisted,
157,2.75,4-twisted,
158,3.5,4-twisted,
159,3.75,4-twisted,
160,4.0,4-twisted,
161,4.25,4-twisted,
162,0.0,5-twisted,
163,0.25,5-twisted,
164,0.5,5-twisted,
165,0.75,5-twisted,
166,1.0,5-twisted,
167,1.25,5-twisted,
168,1.5,5-twisted,
169,1.75,5-twisted,
170,2.25,5-twisted,0.1
171,3.0,5-twisted,
172,2.0,5-twisted,
173,2.5,5-twisted,
174,3.25,5-twisted,
175,2.75,5-twisted,
176,3.5,5-twisted,0.1
177,3.75,5-twisted,
178,4.0,5-twisted,
179,4.25,5-twisted,
180,0.0,-4-twisted,
181,0.25,-4-twisted,
182,0.5,-4-twisted,
183,0.75,-4-twisted,
184,1.0,-4-twisted,
185,1.25,-4-twisted,
186,1.5,-4-twisted,
187,1.75,-4-twisted,
188,2.25,-4-twisted,
189,3.0,-4-twisted,0.1
190,2.0,-4-twisted,
191,2.5,-4-twisted,0.2
192,3.25,-4-twisted,
193,2.75,-4-twisted,
194,3.5,-4-twisted,
195,3.75,-4-twisted,0.1
196,4.0,-4-twisted,0.1
197,4.25,-4-twisted,
198,0.0,2-cluster,
199,0.25,2-cluster,
200,0.5,2-cluster,
201,0.75,2-cluster,
202,1.0,2-cluster,
203,1.25,2-cluster,
204,1.5,2-cluster,
205,1.75,2-cluster,
206,2.25,2-cluster,
207,3.0,2-cluster,
208,2.0,2-cluster,
209,2.5,2-cluster,
210,3.25,2-cluster,0.1
211,2.75,2-cluster,
212,3.5,2-cluster,
213,3.75,2-cluster,
214,4.0,2-cluster,
215,4.25,2-cluster,
